companyName,companyAddress,companyIndustry,companyCountry,companyContacts,companyTel,companyPhone,companyFax,companyMail,userName
DERBY,,办公文教,Ukraine,,,,,k@derby.ua,k
FABS,"MICRO ZONE D‘ACTIVITE BP.NO F8 DAR EL BEIDA 16100 ALGER",办公文教,阿尔及利亚,"MR HAMZA OULAD DAOUD",,"00213 21 507045/507129/70711772","00213 21 507129",ABS_NEGOCE@HOTMAIL.COM,ABS_NEGOCE
HASSANIALI,"O8/B,AST.IN ALGER",办公文教,阿尔及利亚,ALI,,"00213 61 513300",213,HASSANIALIPE@YAHOO.FR,HASSANIALIPE
"COSMOS IMPORTATION","LOTS EST VILLA NO.94 ZERALDA 16 320 ALGER",办公文教,阿尔及利亚,"MR HADDAD OTHMANE",,"00213 21 320714/61513124","00213 21 328809",ETSHADDADDZ@YAHOO.FR,ETSHADDADDZ
"LE MID","BP:35 BIS BENAKNOUN 16306 ALGER",办公文教,阿尔及利亚,"BACHIR KERROUCHI",,"00213 21 912705","00213 21 913130",LEMID9@HOTMAIL.COM,LEMID9
"FABRICATION DE CHAUSSURES..","RUE,15 DECEMBRE MEDEA 26000",办公文教,阿尔及利亚,"KOUAR LYES",,"00213 25 582319",,KOUARLYES@CARAMAIL.COM,KOUARLYES
"CABINET GUERRAK (INTERNATIONAL CONSULTING BUREAU-ICB)","CITE EL MORDJANE-OUED ROMANE (1/6)-EL ACHOUR (ALGER) BP 47,ALGER-DIDOUCHE MOURAD",办公文教,阿尔及利亚,"SALAH GUERRAK",,"00213 21 740931","00213 21 742594",GUERRAK2001@YAHOO.FR,GUERRAK2001
"HOGGAN INTERNATIONAL","HLYRE GE 37 E PLACE IEMAI",办公文教,阿尔及利亚,"Mr. MABRONK BAHLONLI",,"00213 21 651540","00213 21 651540",AMS62@HOTMAIL.COM,AMS62
"SARL NAIDJI TRADING COMPAGNY","26 RUE COLONEL AMIROUCHE B.B.ARRERIDJ",办公文教,阿尔及利亚,"NAIDJI NOUREDDINE",,"00213 35 673578","00213 35 685285",NAIDJI_TRADING1@YAHOO.FR,NAIDJI_TRADING1
"CHAUSSURES TKM","QUARTEIR TAKBOU(ZABOUDJA)MEDEA",办公文教,阿尔及利亚,"TCHOKETCH KEBIR MAHAMED",,"00213 25 580775/588135","00213 25 588135",SHOES@CARAMAIL.COM,SHOES
"ANYANI CO.LTD IMP-EXP","02 RUE SAHNOUN YAHIA NACIRIA-35250W-BOUMERDES",办公文教,阿尔及利亚,"MR.KARIM AMRIOUI",,"00213 1 24880236/61650549","00213 1 24880235",ANYANI80@HOTMAIL.COM,ANYANI80
"JALIL SARDAR LTD","1ST FLOOR NAWAB MARKET KABUL",办公文教,阿富汗,"IKRAMULLAH GRAN",,"0093 20 2101572/70277300","0093 20 2101011",TST@TELEPHONEEST.COM,TST
"HASSAN REZA AHMADI INTER GEN TRDG & IND.CO",KABUL,办公文教,阿富汗,"HASSAN REZA AHMADI",,"0093 20 2102847/70274578","0093 20 2102847",AHMADI@HRA-CO.COM,AHMADI
"GENERAL TRADING CO.,LTD","SHOP 23-24 1ST FLOOR SARAI SHAHZADE KABUL",办公文教,阿富汗,"IRFAN SHINWARI",,"0093 20 2101079/70276672",93,AIMALIRFAN@HOTMAIL.COM,AIMALIRFAN
ARASTO.CO,"SARVARY MARKET JADE-NADER PASHTON KABUL",办公文教,阿富汗,"ALIDAD NASERI",,"0093 20 2101616/79333118","0093 2101616",ARASTO_LLC@YAHOO.COM,ARASTO_LLC
"UNIVERSAL CARGA S.A.","LIMA 711 PISO 8 (C1073AAO) CIUDAD AUTONOMA DE BS.AS.BUENOS AIRES",办公文教,阿根廷,"ALVARO TORRES",,"0054 11 43848485/43425740","0054 11 43836694/43425740",JOTAL63@AOL.COM,JOTAL63
"G&L ENTERPRISE","VENEZUELA 2741,BUENOS AIRES",办公文教,阿根廷,"FABIAN GRYNBERG",,"0054 11 49324682/49324683","0054 11 49324683",VENTAS@GYLENTERPRISE.COM.AR,VENTAS
"IMPORTING THINGS S.R.L.","BERNARDO DE IRIGOYEN 546-PISO 1 A-BUENOS AIRES",办公文教,阿根廷,"JORGE O. LAMBIRIS VILCHE",,"0054 11 43425740","0054 11 43425740",JOTAL63@AOL.COM,JOTAL63
"TIOVIVO S.A.","ENTRE RIOS 674 (ENTRE A.BARANDA Y M.QUINTANA)(1879)QUILMES OESTE BUENOS AIRES",办公文教,阿根廷,"GUILLERMO O.SPOSTO",,"0054 11 42245844/1545374756","0054 11 42574953",TIOVIVOSA@SINECTIS.COM.AR,TIOVIVOSA
"WEST SHORE INTL CO.","#12, HIGH POINT, OH,ARGENTINA",办公文教,阿根廷,,,4-5687-639,4-5687-239,westshore@hotmail.ag,westshore
"SOUTH AMERICAN TRADING","MITRE 1359 6TH FL A 2000 - ROSARIO",办公文教,阿根廷,"MARIO KAPLAN",,"0054 3414212730","0054 341 4403663",KAPLAN@ARNET.COM.AR,KAPLAN
NFP,"M.PEDRAZA 4021",办公文教,阿根廷,"HUMBERTO CAVARRA",,"0054 11 45450122","0054 11 45418184",NFP@NUEVASFORMAS.COM.AR,NFP
"FALCON CARTON BOXES IND. L.L.C.","P.O.BOX:1466,AJMAN",办公文教,阿拉伯,"EID Y. EID",,"00971 6 7421823/7443830/506443001","00971 6 7429205",FALCONC@EMIRATES.NET.AE,FALCONC
"SIRACO GENERAL TRADING (L.L.C.)","P.O.BOX:39769 DUBAI",办公文教,阿拉伯,"SEYED HASSAN AHMADI",,"00971 4 2284252","00971 4 2289694",GOLDENST@EMIRATES.NET.AE,GOLDENST
"S.K.GENERAL TRDG.CO.L.L.C.","P.O.BOX:32431,NEAR DEIRA PALACE HOTEL MURSHID BAZAR AL SOOR ROAD,DEIRA DUBAI",办公文教,阿拉伯,"JOGINDER SINGH",,"00971 4 2256906/506599064","00971 4 2259914",SAMAR@EMIRATES.NET.AE,SAMAR
"GIFT PALACE TRADING CO. L.L.C.","PO.BOX 2618,DUBAI",办公文教,阿拉伯,"KHALID KHDAIR",,"00971 4 2662955","00971 4 2693648",GIFTPLAC@EMIRATES.NET.AE,GIFTPLAC
AZZAR,"P.O.BOX 4446,DUBAI",办公文教,阿拉伯,"FAHAL SHARIET",,"00971 4 3362224","00971 4 3362333",SHYBOY@WWW.COM,SHYBOY
"BLUE SKY OFFICE EQUIPMENT TRADING EST.","P.O.BOX 56312 DUBAI",办公文教,阿拉伯,RAJAN,,"00971 4 2214299/50 4538541","00971 4 2214296",BLUESKY1@EMIRATES.NET.AE,BLUESKY1
"KAZANI TRADING CO.","P.O.BOX 20770,SHARJAH",办公文教,阿拉伯,"HUSSEIN AMJEDELI",,"00971 6 5340242","00971 6 5340812",aukazani@emirates.net.ae,aukazani
ARACO,"SHARJAH - DUBAI HIGHWAY - ALKHAN OASIS BLG. NO.1208",办公文教,阿拉伯,MS.MOJGAN,,"00971 6 5771123",971,NIKIAR@EMIRATES.NET.AE,NIKIAR
"AL MARED TRADING","P.O.BOX:15043 DUBAI",办公文教,阿拉伯,"F-ABDULLATIF MOHAMED",,"00971 4 2250225/506452377","00971 4 2258958",ALMARED2@EMIRATES.NET.AE,ALMARED2
"SHAUMAR ME.","P.O.BOX 43374",办公文教,阿拉伯,"V. MEHRA",,"00971 4 3556369","00971 4 3551739",VICHYMEHRA@HOTMAIL.COM,VICHYMEHRA
"FALCON CARTON BOXES IND.L.L.C.","P.O.BOX:1466,AJMAN",办公文教,阿拉伯,"EID Y.EID",,"00971 6 7421823/7443830/506443001","00971 6 7429205",FALCONC@EMIRATES.NET.AE,FALCONC
"EAGLE NEST GENERAL TRADING L.L.C.","SUITE 204,LEVEL 2 BANIYAS COMPLEX DUBAI(P.O.BOX 19298)",办公文教,阿拉伯,ZAKARIYA,,"00971 4 2215222 EXT.11/506456178","00971 4 2243363",EAGLEZAK@EMIRATES.NET.AE,EAGLEZAK
"Midlle EAST STATIONERY",,办公文教,阿联酋,"Mahmoud Karima",,,,m.karima@mesco-group.com,m.karima
"BUILDING CO.","P.O.BOX 2882.SALALAH,211 SULTANATE OF OMAN",办公文教,阿曼,"ALY MOHAMED",,"00968 299606","00968 299727",NAZARALI211@YAHOO.COM,NAZARALI211
ELCHIN-S,"27,SAFARALIYEV STR.,BAKU CITY",办公文教,阿塞拜疆,"Mr. KHUDAVERDI S. SULEYMANOV",,"00994 12 982780/552002200","00994 12 982780",KHUDA@AZEUROTEL.COM,KHUDA
"AL YASMINE OFFICE",FARASKOUR-DEMIATTA,办公文教,埃及,"LBRAHEM EL SAYED AL WASIFY",,"0020 57 448399/105041368","0020 57 440236",LBRAHEM1E@HOTMAIL.COM,LBRAHEM1E
"GOZOUR CENTER","49 DEMASHK ST.,HELIOPOLIS,CAIRO",办公文教,埃及,"MAHAMED SAYED YOUSSEF",,"0020 2 5877699/3373762/105271963","0020 2 7807887",GOZOUR@YAHOO.DE,GOZOUR
"SAMIR & ALI STATIONERY HOUSES & CO.","64 ZAKER HUSSIEN ST.,NASR CITY,CAIRO",办公文教,埃及,"AHMED HISHAM",,"0020 2 2627333/2622158","0020 2 2635349",SAMIRALY@SAMIR-ALY-COM.EG,SAMIRALY
LANDMARK,"50 IRAN ST.,DOKKI,CAIRO",办公文教,埃及,"ENG.ESSAM ABBAS",,"0020 2 7614647/101386386","0020 1 7614647",LANDMARKEG@YAHOO.COM,LANDMARKEG
"ARAB SUPPLIES.CO.",CAIRO,办公文教,埃及,GHASSAN.J.MOKBEL,,"0020 2 4197783/123216386","0020 2 4197783",ARABSUPPLIESCO.@HOTLINE.COM,ARABSUPPLIESCO.
"OMNI TRADE-EGYPT","77 SAKR KURISH BLG.,9TH FLOOR,FLAT 38,HELIOPOLISE,CAIRO",办公文教,埃及,"MR.EHAB R.SEDRAK",,"0020 105766906","0020 2 2744761",OMNITRADE@LINK.NET,OMNITRADE
"FINE ARTS","36 ABDALLA ABOU AL SAUOD HELIOPOLICE SQR.CAIRO",办公文教,埃及,"MAGED FAWZY",,"0020 2 2403197/123584626","0020 2 2403197",MAGED149@YAHOO.COM,MAGED149
"M.GRAPHIC INT","8 ROSTOM ST GARDEN CITY CAIRO",办公文教,埃及,"MOODY HARIM",,"0020 2 7946002","0020 2 7949335",MOODY@MOODYGRAPHIC.COM,MOODY
"OXGEN COMPANY","9,ST MOSTAFA NAGI DOKKI",办公文教,埃及,"DINA MOUSTAFA",,"0020 105216768",20,DINAS2M@HOTMAIL.COM,DINAS2M
EL-SHAARAWY&CO.,"P.O.BOX:7095 NASR CITY",办公文教,埃及,"MEDHAT EL-SHAARAWY",,"0020 2 4024711/123341837","0020 4016541",MDHTSHAARAWY@HOTMAIL.COM,MDHTSHAARAWY
"EL ADIY P.P.& M.P","20 MOURAD EL SHEREAY ST.FATIMA,HELIOPOLIS,CAIRO",办公文教,埃及,"SAMIR EL AIDY",,"0020 2 6364803/101538691","0020 2 6364803",ELAIDY@GEGA.NET,ELAIDY
"CHINA STAR COMPANY","SADAT CITY 49 ZONE WARESH REGION",办公文教,埃及,"LIN LIANG TU",,"0020 48 601028/101030802","0020 48 606484",YTFSET@263.NET,YTFSET
"K.S FUGARE IMPORTER/EXPORTER","ADDIS ABABA",办公文教,埃塞俄比亚,"WESSY KASSA",,"00251 1 461460/461461/9214677","00251 1 461434",PUPVC@TELECOM.NET.ET,PUPVC
"KANZEN INVESTMENT HOLDINGS PVT.LTD.CO.","P.O.BOX NO.339 ADDIS ABABA",办公文教,埃塞俄比亚,"OMAR MOHAMED MOHAMUD",,"00251 1 779614/779615","00251 1 779616",KANZEN@TELECOM.NET.ET,KANZEN
"SHEMSU AWEL GENERAL IMPORT TRADING","P.O.BOX 181295 ADDIS ABABA",办公文教,埃塞俄比亚,"TAJUR KEMAL",,"00251 1 761556/769712","00251 1 761566/767579",SHEMSUA@HOTMAIL.COM,SHEMSUA
"KIDANE HAGOS GENERAL IMPORTER","TEKEHIMANTA COMMERCIAL BANK,3RD FLOOR,OFFICE NO.116(P.O.BOX: 182066)",办公文教,埃塞俄比亚,,,"00251 1 566504/566505/9204670","00251 1 566505",KIDANEHAGOS@TELECOM.NET.ET,KIDANEHAGOS
