companyName,companyAddress,companyIndustry,companyCountry,companyContacts,companyTel,companyPhone,companyFax,companyMail,userName
PIU,"kkktytuk, ALBANIA",玩具,阿尔巴尼亚,,,6865,86589758,gfr@rhe.emnt,gfr
"SARL KTC",ALGER,玩具,阿尔及利亚,BOUALEM,,"00213 21 284912","00213 21 283507",SARLINICOM@HOTMAIL.COM,SARLINICOM
"DDAS ETS KESSAL SPORTS","RUE MERIEM ABDELAZIZ B.E.O ALGER, 16019 B.P 17 EL KETTANI",玩具,阿尔及利亚,"Mr. KESSAL MOHAMED RACHID",,"00213 21 962108","00213 21 962634",KMR_TRG@HOTMAIL.COM,KMR_TRG
SAFARITOURS,"ANNASSERS 2 BT 21 NES ALGIERS",玩具,阿尔及利亚,MR.RAMDANI,,"00213 21 278252","00213 21 278272",SAFARITOUR@CONMAIL.COM,SAFARITOUR
"ETABLISSEMENT M. AMINE","02,AVENUE MALIKA GAID TAGARINS EL-BIAR",玩具,阿尔及利亚,"GHAOUTI MOURAD",,"00213 21 908252/61513708","00213 21 908252",MOURADGHA@YAHOO.FR,MOURADGHA
bluenavy,"NO 302 Qianshan Road Anshan Liaoning",玩具,阿富汗,Ann,,67800247,,xiebl@ec.com.cn,xiebl
"VEDE SA","LARRAZABAL853 (1440) CIUDAD AUTONOMA DE BS.AS",玩具,阿根廷,"VICENTE DE STEFANO",,"0054 11 46441133","0054 11 46441133",VEDE@SION.COM,VEDE
"QIXIANG(ARGENTINA)IMPORTACION&EXPORTACION CO.,LTD","Azcuenaga 18 Bs.As.Cap.Fed .Argentina",玩具,阿根廷,,,005491154972578,00541149535198,rendongx@yahoo.com.cn,rendongx
"CECIL‘S S. R. L.","RONDEAU 712 (1704) RAMOS MEJIA BS. AS.",玩具,阿根廷,"MIRTA GEY DE. KOMATSU",,"0054 11 46580796/46581525","0054 11 46580796/46581525",KOMATSU@ARNET.COM.AR,KOMATSU
"PRO SMART S.A.","PEREYRA LUCENA 2582 6TO A BUENOS AIRES",玩具,阿根廷,"EDUARDO STANISLAVSKY",,"0054 11 48038392","0054 11 48038392",PROSMART@FIBERTEL.COM.AR,PROSMART
"JUEBIL SRL","ANGEL GALLARDO 573-(1405) CAP.FED.BUENOS AIRES",玩具,阿根廷,"JAVIER DUBIN",,"0054 11 48541311/48544565","0054 11 48541311",LASVEGAS@JUEGOSDESALON.COM,LASVEGAS
"ABU KHALID EXHIBITION (L.L.C.)","MURSHID BAZAR,AL BADOOR STREET,DEIRA DUBAI (P.O.BOX:39427)",玩具,阿拉伯,"FAISAL MOHAMAD",,"00971 4 2266503/2621095/504502947","00971 4 2255310",abkhalid@emirates.net.ae,abkhalid
"SALEM AL JABRI TRADING EST.","P.O.BOX 27571 SHARJAH",玩具,阿拉伯,"KHALID SALEM AL JABRI",,"00971 6 5331173/5431173/506450223","00971 6 5327032/5421032",JABPLAST@EMIRATES.NET.AE,JABPLAST
"COOL PLUS A/C & REFRIGERATION SPARE PARTS TRADING CO.","P.O.BOX 113930,DEIRA, DUBAI,U.A.E.",玩具,阿拉伯,,,97142234622,97142276800,coolplus@emirates.net.ae,coolplus
"DIAWORLD LTD.","APT 1510,BLDG#C AL-TAWAN ROAD,SHARJAH",玩具,阿拉伯,"K.A.H.SHAMIM AHSAN",,"00971 507951617/507951807","00971 605531310",SIGNET@HOTMAIL.COM,SIGNET
"JACKYS ELECTRONICS LLC","P.O. BOX 13745,AIRPORT ROAD,DUBAI,U.A.E.",玩具,阿拉伯,,,(971-4)2821822,(971-4)2821474,dubai@jackys.com,dubai
